61.8 43066 221.547
62 43144.5 222.8
62.2 43222.7 224.056
62.4 43300.5 225.314
62.6 43377.8 226.575
62.8 43454.8 227.837
63 43531.4 229.102
63.2 43607.6 230.369
63.4 43683.4 231.638
63.6 43758.8 232.91
63.8 43833.9 234.183
64 43908.5 235.459
64.2 43982.7 236.737
64.4 44056.6 238.017
64.6 44130 239.299
64.8 44203.1 240.584
65 44275.7 241.87
65.2 44348 243.159
65.4 44419.9 244.45
65.6 44491.4 245.742
65.8 44562.5 247.037
66 44633.2 248.334
66.2 44703.5 249.633
66.4 44773.4 250.934
66.6 44842.9 252.237
66.8 44912.1 253.542
67 44980.8 254.849
67.2 45049.1 256.158
67.4 45117.1 257.469
67.6 45184.6 258.782
67.8 45251.8 260.097
68 45318.6 261.414
68.2 45385 262.733
68.4 45451 264.054
68.6 45516.6 265.376
68.8 45581.8 266.701
69 45646.6 268.027
69.2 45711 269.356
69.4 45775 270.686
69.6 45838.6 272.018
69.8 45901.9 273.352
70 45964.7 274.688
70.2 46027.2 276.025
70.4 46089.2 277.364
70.6 46150.9 278.706
70.8 46212.2 280.049
71 46273.1 281.393
71.2 46333.6 282.74
71.4 46393.7 284.088
71.6 46453.4 285.438
71.8 46512.7 286.79
72 46571.6 288.143
72.2 46630.1 289.498
72.4 46688.3 290.855
72.6 46746 292.213
72.8 46803.3 293.574
73 46860.3 294.936
73.2 46916.9 296.299
73.4 46973 297.664
73.6 47028.8 299.031
73.8 47084.2 300.399
74 47139.2 301.769
74.2 47193.8 303.141
74.4 47248 304.514
74.6 47301.8 305.889
74.8 47355.3 307.265
75 47408.3 308.643
75.2 47460.9 310.022
75.4 47513.2 311.403
75.6 47565 312.785
75.8 47616.5 314.169
76 47667.6 315.555
76.2 47718.2 316.942
76.4 47768.5 318.33
76.6 47818.4 319.72
76.8 47867.9 321.111
77 47917 322.504
77.2 47965.7 323.898
77.4 48014 325.293
77.6 48062 326.69
77.8 48109.5 328.088
78 48156.6 329.488
78.2 48203.4 330.889
78.4 48249.8 332.291
78.6 48295.7 333.695
78.8 48341.3 335.1
79 48386.5 336.507
79.2 48431.3 337.914
79.4 48475.7 339.323
79.6 48519.7 340.734
79.8 48563.3 342.145
80 48606.5 343.558
80.2 48649.3 344.972
80.4 48691.8 346.387
80.6 48733.8 347.804
80.8 48775.5 349.222
81 48816.7 350.641
81.2 48857.6 352.061
81.4 48898 353.482
81.6 48938.1 354.905
81.8 48977.8 356.328
82 49017.1 357.753
82.2 49056 359.179
82.4 49094.5 360.606
82.6 49132.6 362.034
82.8 49170.4 363.464
83 49207.7 364.894
83.2 49244.6 366.326
83.4 49281.2 367.758
83.6 49317.4 369.192
83.8 49353.1 370.626
84 49388.5 372.062
84.2 49423.5 373.499
84.4 49458.1 374.936
84.6 49492.3 376.375
84.8 49526.1 377.815
85 49559.5 379.256
85.2 49592.5 380.697
85.4 49625.1 382.14
85.6 49657.4 383.583
85.8 49689.2 385.028
86 49720.6 386.473
86.2 49751.7 387.92
86.4 49782.4 389.367
86.6 49812.6 390.815
86.8 49842.5 392.264
87 49872 393.714
87.2 49901.1 395.164
87.4 49929.8 396.616
87.6 49958.1 398.068
87.8 49986 399.522
88 50013.6 400.976
88.2 50040.7 402.43
88.4 50067.4 403.886
88.6 50093.8 405.342
88.8 50119.8 406.799
89 50145.3 408.257
89.2 50170.5 409.716
89.4 50195.3 411.175
89.6 50219.7 412.635
89.8 50243.7 414.096
90 50267.3 415.557
90.2 50290.5 417.019
90.4 50313.3 418.482
90.6 50335.7 419.946
90.8 50357.8 421.41
91 50379.4 422.875
91.2 50400.7 424.34
91.4 50421.5 425.806
91.6 50442 427.272
91.8 50462.1 428.74
92 50481.7 430.207
92.2 50501 431.676
92.4 50519.9 433.145
92.6 50538.4 434.614
92.8 50556.5 436.084
93 50574.3 437.554
93.2 50591.6 439.025
93.4 50608.5 440.497
93.6 50625.1 441.969
93.8 50641.2 443.441
94 50657 444.914
94.2 50672.3 446.387
94.4 50687.3 447.861
94.6 50701.9 449.336
